mktrf,smb,hml,rmw,cma,rf,umd,dateff
-0.019700,-0.014200,0.020400,0.004600,0.012900,0.00210,0.004100,2005-03-31
-0.026100,-0.039800,0.000700,0.009700,-0.009400,0.00210,-0.006900,2005-04-29
0.036500,0.027800,-0.006400,-0.010000,0.003000,0.00240,0.004500,2005-05-31
0.005700,0.032800,0.028300,0.009600,-0.005100,0.00230,0.020500,2005-06-30
0.039200,0.028100,-0.007900,-0.011800,-0.008200,0.00240,0.000600,2005-07-29
-0.012200,-0.008900,0.013200,-0.020500,0.003700,0.00300,0.020800,2005-08-31
0.004900,-0.003400,0.007100,0.002700,-0.006000,0.00290,0.034300,2005-09-30
-0.020200,-0.014500,0.004200,-0.009300,-0.012900,0.00270,-0.013900,2005-10-31
0.036100,0.008400,-0.011600,-0.007600,-0.011300,0.00310,0.003500,2005-11-30
-0.002500,-0.002000,0.002000,0.002200,0.002300,0.00320,0.007700,2005-12-30
0.030400,0.057500,0.010800,-0.006500,-0.004500,0.00350,0.025300,2006-01-31
-0.003000,-0.004200,-0.003400,-0.005100,0.019100,0.00340,-0.018400,2006-02-28
0.014600,0.033900,0.006000,0.000600,-0.004000,0.00370,0.012600,2006-03-31
0.007300,-0.008400,0.023400,0.018000,0.000100,0.00360,0.006400,2006-04-28
-0.035700,-0.028500,0.024100,0.011500,0.014600,0.00430,-0.037000,2006-05-31
-0.003500,-0.002400,0.008500,0.013200,-0.000700,0.00400,0.015400,2006-06-30
-0.007800,-0.036300,0.026000,0.016300,0.009000,0.00400,-0.021200,2006-07-31
0.020300,0.004400,-0.020600,-0.018600,0.020900,0.00420,-0.033800,2006-08-31
0.018400,-0.014600,0.000800,0.008200,0.006000,0.00410,-0.009600,2006-09-29
0.032300,0.019800,-0.003100,-0.001200,0.002800,0.00410,-0.002000,2006-10-31
0.017100,0.007100,0.001400,0.001500,-0.008000,0.00420,-0.010300,2006-11-30
0.008700,-0.008200,0.027300,-0.007200,0.020600,0.00400,0.007900,2006-12-29
0.014000,0.000700,-0.006800,0.002600,0.003800,0.00440,0.002400,2007-01-31
-0.019600,0.012900,-0.001400,-0.005100,-0.007100,0.00380,-0.013500,2007-02-28
0.006800,0.002000,-0.009700,0.006400,-0.006500,0.00430,0.025600,2007-03-30
0.034900,-0.020400,-0.014500,0.011500,0.010300,0.00440,-0.002400,2007-04-30
0.032400,0.004000,-0.006500,0.015800,-0.013700,0.00410,-0.003400,2007-05-31
-0.019600,0.007400,-0.010500,0.005300,0.000800,0.00400,0.005100,2007-06-29
-0.037300,-0.029900,-0.037100,0.002000,-0.011300,0.00400,0.029400,2007-07-31
0.009200,-0.003800,-0.018600,-0.012100,-0.005400,0.00420,0.001000,2007-08-31
0.032200,-0.024400,-0.022100,-0.005200,-0.030200,0.00320,0.046300,2007-09-28
0.018000,-0.000800,-0.029800,-0.002900,-0.000900,0.00320,0.050200,2007-10-31
-0.048300,-0.030200,-0.009400,0.018900,-0.002900,0.00340,0.009900,2007-11-30
-0.008700,0.001500,-0.005500,0.008700,-0.010500,0.00270,0.066300,2007-12-31
-0.063600,-0.006500,0.039700,0.021500,0.021400,0.00210,-0.077500,2008-01-31
-0.030900,-0.006600,-0.008400,0.008700,-0.009200,0.00130,0.061000,2008-02-29
-0.009300,0.005600,0.003000,0.007900,0.005000,0.00170,0.042700,2008-03-31
0.046000,-0.012000,-0.009400,0.016300,-0.024700,0.00180,-0.003100,2008-04-30
0.018600,0.030200,-0.014300,0.009300,-0.000600,0.00180,0.033100,2008-05-30
-0.084400,0.011800,-0.027100,0.049600,-0.005500,0.00170,0.127500,2008-06-30
-0.007700,0.037200,0.054200,-0.013600,0.010600,0.00150,-0.051300,2008-07-31
0.015300,0.034600,0.015900,0.018600,0.008400,0.00130,-0.040200,2008-08-29
-0.092400,0.002500,0.059100,0.024200,0.017800,0.00150,0.002800,2008-09-30
-0.172300,-0.033400,-0.023000,0.030400,0.020500,0.00080,0.078500,2008-10-31
-0.078600,-0.039000,-0.063100,0.045300,0.027500,0.00030,0.071700,2008-11-28
0.017400,0.032900,0.001400,0.000700,-0.015000,0.00000,-0.050900,2008-12-31
-0.081200,-0.021400,-0.112900,0.001800,-0.011600,0.00000,-0.021800,2009-01-30
-0.101000,-0.013300,-0.069500,0.012000,-0.010200,0.00010,0.044100,2009-02-27
0.089500,0.006700,0.034700,-0.025200,-0.022500,0.00020,-0.118700,2009-03-31
0.101800,0.071300,0.053600,0.013100,0.001200,0.00010,-0.343000,2009-04-30
